row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,retail_sales_people,product_id,category,sub_category,product_name,returned,sales,quantity,discount,profit,order_year,order_month,order_month_name,order_quarter,order_weekday,shipping_days,profit_margin,loss_order,high_discount,late_shipping,weekend_order,high_value_order
1,CA-2016-152156,2016-08-11,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,Cassandra Brandow,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,Not,261.96,2,0.0,41.91,2016,8,August,3,Thursday,92,16.0,False,False,True,False,True
2,CA-2016-152156,2016-08-11,2016-11-11,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,Cassandra Brandow,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Not,731.94,3,0.0,219.58,2016,8,August,3,Thursday,92,30.0,False,False,True,False,True
3,CA-2016-138688,2016-12-06,2016-12-06,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,Anna Andreadi,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Not,14.62,2,0.0,6.87,2016,12,December,4,Tuesday,0,46.99,False,False,False,False,False
4,US-2015-108966,2015-11-10,2015-11-10,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,Cassandra Brandow,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,Not,957.58,5,0.45,-383.03,2015,11,November,4,Tuesday,0,-40.0,True,True,False,False,True
5,US-2015-108966,2015-11-10,2015-11-10,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,Cassandra Brandow,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,Not,22.37,2,0.2,2.52,2015,11,November,4,Tuesday,0,11.27,False,False,False,False,False
6,CA-2014-115812,2014-09-06,2014-09-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Anna Andreadi,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Not,48.86,7,0.0,14.17,2014,9,September,3,Saturday,0,29.0,False,False,False,True,False
7,CA-2014-115812,2014-09-06,2014-09-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Anna Andreadi,OFF-AR-10002833,Office Supplies,Art,Newell 322,Not,7.28,4,0.0,1.97,2014,9,September,3,Saturday,0,27.06,False,False,False,True,False
8,CA-2014-115812,2014-09-06,2014-09-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Anna Andreadi,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,Not,907.15,6,0.2,90.72,2014,9,September,3,Saturday,0,10.0,False,False,False,True,True
9,CA-2014-115812,2014-09-06,2014-09-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Anna Andreadi,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,Not,18.5,3,0.2,5.78,2014,9,September,3,Saturday,0,31.24,False,False,False,True,False
10,CA-2014-115812,2014-09-06,2014-09-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Anna Andreadi,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,Not,114.9,5,0.0,34.47,2014,9,September,3,Saturday,0,30.0,False,False,False,True,False
11,CA-2014-115812,2014-09-06,2014-09-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Anna Andreadi,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,Not,1706.18,9,0.2,85.31,2014,9,September,3,Saturday,0,5.0,False,False,False,True,True
12,CA-2014-115812,2014-09-06,2014-09-06,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Anna Andreadi,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,Not,911.42,4,0.2,68.36,2014,9,September,3,Saturday,0,7.5,False,False,False,True,True
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,Cassandra Brandow,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,Not,15.55,3,0.2,5.44,2017,4,April,2,Saturday,5,34.98,False,False,False,True,False
14,CA-2016-161389,2016-05-12,2016-10-12,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,Anna Andreadi,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,Not,407.98,3,0.2,132.59,2016,5,May,2,Thursday,153,32.5,False,False,True,False,True
15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,Kelly Williams,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Not,68.81,5,0.8,-123.86,2015,11,November,4,Sunday,4,-180.0,True,True,False,True,False
16,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,Kelly Williams,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,Not,2.54,3,0.8,-3.82,2015,11,November,4,Sunday,4,-150.39,True,True,False,True,False
17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,Kelly Williams,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Not,665.88,6,0.0,13.32,2014,11,November,4,Tuesday,7,2.0,False,False,True,False,True
18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,Anna Andreadi,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,Not,55.5,2,0.0,9.99,2014,5,May,2,Tuesday,2,18.0,False,False,False,False,False
19,CA-2014-143336,2014-08-27,2014-08-27,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Anna Andreadi,OFF-AR-10003056,Office Supplies,Art,Newell 341,Yes,8.56,2,0.0,2.48,2014,8,August,3,Wednesday,0,28.97,False,False,False,False,False
20,CA-2014-143336,2014-08-27,2014-08-27,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Anna Andreadi,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,Yes,213.48,3,0.2,16.01,2014,8,August,3,Wednesday,0,7.5,False,False,False,False,True
21,CA-2014-143336,2014-08-27,2014-08-27,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Anna Andreadi,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",Yes,22.72,4,0.2,7.38,2014,8,August,3,Wednesday,0,32.48,False,False,False,False,False
22,CA-2016-137330,2016-09-12,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,Kelly Williams,OFF-AR-10000246,Office Supplies,Art,Newell 318,Not,19.46,7,0.0,5.06,2016,9,September,3,Monday,92,26.0,False,False,True,False,False
23,CA-2016-137330,2016-09-12,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,Kelly Williams,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",Not,60.34,7,0.0,15.69,2016,9,September,3,Monday,92,26.0,False,False,True,False,False
24,US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Chuck Magee,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",Not,71.37,2,0.3,-1.02,2017,7,July,3,Sunday,2,-1.43,True,True,False,True,False
25,CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,Anna Andreadi,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,Not,1044.63,3,0.0,240.26,2015,9,September,3,Friday,5,23.0,False,False,False,False,True
26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,Anna Andreadi,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,Not,11.65,2,0.2,4.22,2016,1,January,1,Saturday,4,36.22,False,False,False,True,False
27,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,Anna Andreadi,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Not,90.57,3,0.0,11.77,2016,1,January,1,Saturday,4,13.0,False,False,False,True,False
28,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Chuck Magee,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Not,3083.43,7,0.5,-1665.05,2015,9,September,3,Thursday,4,-54.0,True,True,False,False,True
29,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Chuck Magee,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,Not,9.62,2,0.7,-7.05,2015,9,September,3,Thursday,4,-73.28,True,True,False,False,False
30,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Chuck Magee,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Not,124.2,3,0.2,15.53,2015,9,September,3,Thursday,4,12.5,False,False,False,False,False
31,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Chuck Magee,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,Not,3.26,2,0.2,1.1,2015,9,September,3,Thursday,4,33.74,False,False,False,False,False
32,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Chuck Magee,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Not,86.3,6,0.2,9.71,2015,9,September,3,Thursday,4,11.25,False,False,False,False,False
33,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Chuck Magee,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Not,6.86,6,0.7,-5.72,2015,9,September,3,Thursday,4,-83.38,True,True,False,False,False
34,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Chuck Magee,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,Not,15.76,2,0.2,3.55,2015,9,September,3,Thursday,4,22.53,False,False,False,False,False
35,CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,Kelly Williams,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,Not,29.47,3,0.2,9.95,2017,10,October,4,Thursday,4,33.76,False,False,False,False,False
36,CA-2016-117590,2016-08-12,2016-10-12,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,Kelly Williams,TEC-PH-10004977,Technology,Phones,GE 30524EE4,Not,1097.54,7,0.2,123.47,2016,8,August,3,Friday,61,11.25,False,False,True,False,True
37,CA-2016-117590,2016-08-12,2016-10-12,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,Kelly Williams,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Not,190.92,5,0.6,-147.96,2016,8,August,3,Friday,61,-77.5,True,True,True,False,False
38,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Kelly Williams,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Not,113.33,9,0.2,35.42,2015,12,December,4,Sunday,4,31.25,False,False,False,True,False
